n,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,roc_auc,split,target,gender,distance,model_id,task,features_n,training_rows,sample_size_too_small,skipped,silhouette,cluster_counts,anomaly_rate,risk_score_mean,risk_score_std
909,0.8503850385038504,0.8562321045096636,0.8488023952095809,0.8513039926747166,0.8475556525534701,0.8562321045096636,0.9420036984013362,athlete_group_holdout,advancement_label,female,500m,female_500m_advancement,advancement,55,3896,False,False,,,,,
1990,0.84321608040201,0.8421783181357649,0.8425441265976872,0.8431127028936527,0.8430820804550996,0.8421783181357649,0.9165577507598784,time_external_season_ge_2023,advancement_label,female,500m,female_500m_advancement,advancement,55,3896,False,False,,,,,
974,0.8449691991786448,0.8435139573070607,0.8432840512533631,0.8450192530774155,0.8430706058747359,0.8435139573070607,0.9272300769837715,random_stratified_holdout,advancement_label,female,500m,female_500m_advancement,advancement,55,3896,False,False,,,,,
1020,0.5254901960784314,0.5081009035756633,0.5150552450909869,0.536354724455956,0.5260803052963687,0.5081009035756633,,athlete_group_holdout,grade_label,female,500m,female_500m_grade,grade,34,4278,False,False,,,,,
2148,0.48324022346368717,0.4809579192916168,0.48358162559364587,0.4894202507133518,0.4960782647978212,0.4809579192916168,,time_external_season_ge_2023,grade_label,female,500m,female_500m_grade,grade,34,4278,False,False,,,,,
1070,0.5271028037383177,0.5269020068198335,0.5270620257587173,0.5272695413254347,0.5301489878117216,0.5269020068198335,,random_stratified_holdout,grade_label,female,500m,female_500m_grade,grade,34,4278,False,False,,,,,
1020,0.49117647058823527,0.30986828046248693,0.30990268158902806,0.47240924618546504,0.3366678002917142,0.30986828046248693,,athlete_group_holdout,max_round_score,female,500m,female_500m_max_round,max_round,55,4278,False,False,,,,,
2148,0.4250465549348231,0.31023431285850317,0.2013040764624973,0.4381762523407582,0.21719603296132864,0.2215959377560737,,time_external_season_ge_2023,max_round_score,female,500m,female_500m_max_round,max_round,55,4278,False,False,,,,,
1070,0.4981308411214953,0.2912358694515181,0.28660246426646385,0.4789965134203026,0.29663541991149683,0.2912358694515181,,random_stratified_holdout,max_round_score,female,500m,female_500m_max_round,max_round,55,4278,False,False,,,,,
1020,0.7607843137254902,0.7411491866820195,0.7441611842105262,0.7589941305469556,0.7484834812252469,0.7411491866820195,0.8288504889638508,athlete_group_holdout,final_entry_label,female,500m,female_500m_final_entry,final_entry,55,4278,False,False,,,,,
2148,0.7700186219739292,0.7720245649777897,0.7450671740759961,0.7778902097036343,0.7368123600732708,0.7720245649777897,0.8604943889649644,time_external_season_ge_2023,final_entry_label,female,500m,female_500m_final_entry,final_entry,55,4278,False,False,,,,,
1070,0.7869158878504673,0.7326136931534233,0.7430745121827924,0.7807661926210648,0.7612349082484364,0.7326136931534233,0.8342868565717141,random_stratified_holdout,final_entry_label,female,500m,female_500m_final_entry,final_entry,55,4278,False,False,,,,,
1020,1.0,1.0,1.0,1.0,1.0,1.0,,athlete_group_holdout,tactical_style_label,female,500m,female_500m_tactical_style,tactical_style,34,4278,False,False,,,,,
2148,1.0,1.0,1.0,1.0,1.0,1.0,,time_external_season_ge_2023,tactical_style_label,female,500m,female_500m_tactical_style,tactical_style,34,4278,False,False,,,,,
1070,1.0,1.0,1.0,1.0,1.0,1.0,,random_stratified_holdout,tactical_style_label,female,500m,female_500m_tactical_style,tactical_style,34,4278,False,False,,,,,
1020,0.9,0.8607282373423677,0.8668856243190216,0.9002735623321989,0.874556204288702,0.8607282373423677,,athlete_group_holdout,key_lap_label,female,500m,female_500m_key_lap,key_lap,55,4278,False,False,,,,,
2148,0.8910614525139665,0.867443163831742,0.8600835397047988,0.8913903254608513,0.8544384710844198,0.867443163831742,,time_external_season_ge_2023,key_lap_label,female,500m,female_500m_key_lap,key_lap,55,4278,False,False,,,,,
1070,0.9074766355140187,0.8941185346864678,0.8838664920453821,0.9080745849358624,0.8753315359246331,0.8941185346864678,,random_stratified_holdout,key_lap_label,female,500m,female_500m_key_lap,key_lap,55,4278,False,False,,,,,
4278,,,,,,,,unsupervised_full_fit,style_cluster,female,500m,female_500m_style_cluster,style_cluster,18,4278,False,False,0.4499170325595912,"{0: 940, 1: 2084, 2: 1118, 3: 136}",,,
4278,,,,,,,,unsupervised_full_fit,risk_score,female,500m,female_500m_risk_detection,risk_detection,15,4278,False,False,,,0.12014960261804582,-0.05133612568431688,0.07460067155794417
