gender,distance,task,model_id,training_rows,features_n,sample_size_too_small,split_rows,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_weighted_f1,mean_roc_auc,silhouette,anomaly_rate,risk_score_mean,risk_score_std
female,1000m,advancement,female_1000m_advancement,3896,70,False,3,0.8526814440703202,0.8551956326429394,0.852007078636694,0.853057091345808,0.9316469718278109,,,,
male,1000m,advancement,male_1000m_advancement,5308,70,False,3,0.8345481089746688,0.8350468973478969,0.8342942800505943,0.8346016377140074,0.919289065820624,,,,
female,1000m,final_entry,female_1000m_final_entry,4292,70,False,3,0.7693129930816812,0.7495136139806028,0.7455529966395141,0.7704016027384282,0.8384523906257143,,,,
male,1000m,final_entry,male_1000m_final_entry,5704,70,False,3,0.7698004898480663,0.6923946143626015,0.6926928454291402,0.7695809902772169,0.8062118975052405,,,,
female,1000m,grade,female_1000m_grade,4292,45,False,3,0.585942644489598,0.587553471366319,0.5836404862478194,0.5849944757828577,,,,,
male,1000m,grade,male_1000m_grade,5704,45,False,3,0.5611274256639364,0.559951533667976,0.5617488180398164,0.5635053444844528,,,,,
female,1000m,key_lap,female_1000m_key_lap,4292,70,False,3,0.6884473911155752,0.6918644767421872,0.6774105859264689,0.685390114647471,,,,,
male,1000m,key_lap,male_1000m_key_lap,5704,70,False,3,0.7126161256959761,0.7234475719511785,0.7064065689151587,0.7115610996781153,,,,,
female,1000m,max_round,female_1000m_max_round,4292,70,False,3,0.49995559682114227,0.3165285187500259,0.27624640750628915,0.48764804776664245,,,,,
male,1000m,max_round,male_1000m_max_round,5704,70,False,3,0.43215034794290436,0.30449200855180164,0.2867312053214917,0.4122166760989768,,,,,
female,1000m,risk_detection,female_1000m_risk_detection,4292,15,False,1,,,,,,,0.1199906803355079,-0.0500962582909694,0.0664497310281389
male,1000m,risk_detection,male_1000m_risk_detection,5704,15,False,1,,,,,,,0.1200911640953716,-0.0540217786299239,0.0680748267886244
female,1000m,style_cluster,female_1000m_style_cluster,4292,18,False,1,,,,,,0.2403499226571086,,,
male,1000m,style_cluster,male_1000m_style_cluster,5704,18,False,1,,,,,,0.2473938554094191,,,
female,1000m,tactical_style,female_1000m_tactical_style,4292,45,False,3,0.9926980444227448,0.9903655377107761,0.9906819159630476,0.9927005515824107,,,,,
male,1000m,tactical_style,male_1000m_tactical_style,5704,45,False,3,0.9946005799378121,0.9932395020442426,0.9937900411165032,0.9946030970403726,,,,,
female,1500m,advancement,female_1500m_advancement,3168,92,False,3,0.8595825229606362,0.8588885195099086,0.8591467647514944,0.8594501582101085,0.9347003668717022,,,,
male,1500m,advancement,male_1500m_advancement,4629,92,False,3,0.8658993841384346,0.8650974268949806,0.8645238510395764,0.8658140765067448,0.9337387737344865,,,,
female,1500m,final_entry,female_1500m_final_entry,3785,92,False,3,0.7568157668833595,0.7568362030650925,0.7518218371924733,0.7573586223818829,0.8392559143892641,,,,
male,1500m,final_entry,male_1500m_final_entry,5228,92,False,3,0.7781173903536756,0.7569507569724568,0.7485915667445119,0.7800821020856885,0.8508808670641933,,,,
female,1500m,grade,female_1500m_grade,3785,61,False,3,0.689791887861074,0.6904140466431197,0.69355889074354,0.6944668534857126,,,,,
male,1500m,grade,male_1500m_grade,5228,61,False,3,0.6502157212641354,0.6493919578631697,0.6478513863648458,0.6496560290934007,,,,,
female,1500m,key_lap,female_1500m_key_lap,3785,92,False,3,0.6255089068556156,0.6398459193265142,0.6197768564087135,0.6254843106070238,,,,,
male,1500m,key_lap,male_1500m_key_lap,5228,92,False,3,0.6255521177319738,0.6495402270737851,0.6246706654063349,0.6241061568979598,,,,,
female,1500m,max_round,female_1500m_max_round,3785,92,False,3,0.5910395684928123,0.4205001094542127,0.3510704066856623,0.5864385821641852,,,,,
male,1500m,max_round,male_1500m_max_round,5228,92,False,3,0.5466342036480164,0.35555373650738503,0.2906963442444895,0.5342375552854343,,,,,
female,1500m,risk_detection,female_1500m_risk_detection,3785,15,False,1,,,,,,,0.1202113606340819,-0.0546826415073613,0.0575769150102206
male,1500m,risk_detection,male_1500m_risk_detection,5228,15,False,1,,,,,,,0.1201224177505738,-0.0531473791426517,0.0604747009681636
female,1500m,style_cluster,female_1500m_style_cluster,3785,18,False,1,,,,,,0.1742441819831002,,,
male,1500m,style_cluster,male_1500m_style_cluster,5228,18,False,1,,,,,,0.1967581609777091,,,
female,1500m,tactical_style,female_1500m_tactical_style,3785,61,False,3,0.9881748000134708,0.9813957499907026,0.973358463501344,0.9882568403029505,,,,,
male,1500m,tactical_style,male_1500m_tactical_style,5228,61,False,3,0.9877349350444956,0.9785275558888303,0.9761874377563028,0.9877604367608258,,,,,
female,500m,advancement,female_500m_advancement,3896,55,False,3,0.8461901060281685,0.8473081266508298,0.8448768576868771,0.8464786495485949,0.9285971753816621,,,,
male,500m,advancement,male_500m_advancement,5460,55,False,3,0.8608723566575368,0.8614353274750299,0.8608018868997154,0.8609154779031476,0.940221593656172,,,,
female,500m,final_entry,female_500m_final_entry,4278,55,False,3,0.7725729411832956,0.7485958149377442,0.7441009568231048,0.7725501776238849,0.8412105781668431,,,,
male,500m,final_entry,male_500m_final_entry,5838,55,False,3,0.7721071386660697,0.7089005825421971,0.6988174593317765,0.7762951655914879,0.806908208370892,,,,
female,500m,grade,female_500m_grade,4278,34,False,3,0.5119444077601454,0.5053202765623711,0.50856629881445,0.5176815054982474,,,,,
