n,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,roc_auc,split,target,gender,distance,model_id,task,features_n,training_rows,sample_size_too_small,skipped,silhouette,cluster_counts,anomaly_rate,risk_score_mean,risk_score_std
1327,0.880180859080633,0.8793217450579414,0.8796754894262042,0.8798106464268072,0.884049719105001,0.8793217450579414,0.943031129288798,athlete_group_holdout,advancement_label,male,1500m,male_1500m_advancement,advancement,92,4629,False,False,,,,,
2531,0.8522323192414065,0.8539350991533616,0.8502251225927642,0.8528077612840209,0.8484584142791578,0.8539350991533616,0.9317650920395055,time_external_season_ge_2023,advancement_label,male,1500m,male_1500m_advancement,advancement,92,4629,False,False,,,,,
1158,0.8652849740932642,0.8620354364736387,0.863670941099761,0.8648238218094062,0.8670317634173055,0.8620354364736387,0.9264200998751562,random_stratified_holdout,advancement_label,male,1500m,male_1500m_advancement,advancement,92,4629,False,False,,,,,
1364,0.6649560117302052,0.6693611617047817,0.6660316181313914,0.662719619608711,0.6714536005500327,0.6693611617047817,,athlete_group_holdout,grade_label,male,1500m,male_1500m_grade,grade,61,5228,False,False,,,,,
2764,0.6146888567293777,0.607720360934464,0.6066503028824404,0.6154956257949495,0.6064533120728832,0.607720360934464,,time_external_season_ge_2023,grade_label,male,1500m,male_1500m_grade,grade,61,5228,False,False,,,,,
1307,0.6710022953328233,0.6710943509502636,0.6708722380807057,0.6707528418765417,0.6730299401570694,0.6710943509502636,,random_stratified_holdout,grade_label,male,1500m,male_1500m_grade,grade,61,5228,False,False,,,,,
1364,0.6004398826979472,0.30281816622128527,0.30656075380727393,0.5764424121568663,0.5400750108410991,0.30281816622128527,,athlete_group_holdout,max_round_score,male,1500m,male_1500m_max_round,max_round,92,5228,False,False,,,,,
2764,0.46562952243125905,0.43560329685128973,0.22404140867437938,0.47663699376444135,0.2546909120526676,0.24891616962930843,,time_external_season_ge_2023,max_round_score,male,1500m,male_1500m_max_round,max_round,92,5228,False,False,,,,,
1307,0.5738332058148432,0.3282397464495802,0.34148687025181523,0.5496332599349953,0.5232413981021458,0.3282397464495802,,random_stratified_holdout,max_round_score,male,1500m,male_1500m_max_round,max_round,92,5228,False,False,,,,,
1364,0.7888563049853372,0.761322772352184,0.7645812308378259,0.787415318848727,0.7685582300024314,0.761322772352184,0.862768756151109,athlete_group_holdout,final_entry_label,male,1500m,male_1500m_final_entry,final_entry,92,5228,False,False,,,,,
2764,0.7604920405209841,0.7646742763646908,0.7303581533528247,0.7708627938970389,0.7218993298003702,0.7646742763646908,0.8422300845709098,time_external_season_ge_2023,final_entry_label,male,1500m,male_1500m_final_entry,final_entry,92,5228,False,False,,,,,
1307,0.7850038255547054,0.7448552222004957,0.7508353160428849,0.7819681935112999,0.7591043816234656,0.7448552222004957,0.8476437604705609,random_stratified_holdout,final_entry_label,male,1500m,male_1500m_final_entry,final_entry,92,5228,False,False,,,,,
1364,0.9846041055718475,0.9751386853915319,0.9730083764706784,0.9846357999153929,0.9709395497590194,0.9751386853915319,,athlete_group_holdout,tactical_style_label,male,1500m,male_1500m_tactical_style,tactical_style,61,5228,False,False,,,,,
2764,0.9862518089725036,0.9743997275773006,0.9700037901976375,0.9862879039510472,0.9663129895380557,0.9743997275773006,,time_external_season_ge_2023,tactical_style_label,male,1500m,male_1500m_tactical_style,tactical_style,61,5228,False,False,,,,,
1307,0.9923488905891354,0.9860442546976582,0.9855501466005924,0.9923576064160371,0.9850653397729726,0.9860442546976582,,random_stratified_holdout,tactical_style_label,male,1500m,male_1500m_tactical_style,tactical_style,61,5228,False,False,,,,,
1364,0.6407624633431085,0.6618741898198318,0.6370614424881983,0.6404848236483455,0.6209278535470057,0.6618741898198318,,athlete_group_holdout,key_lap_label,male,1500m,male_1500m_key_lap,key_lap,92,5228,False,False,,,,,
2764,0.5824891461649783,0.6022483273363043,0.5834850933160398,0.5799017026101873,0.5747039286324702,0.6022483273363043,,time_external_season_ge_2023,key_lap_label,male,1500m,male_1500m_key_lap,key_lap,92,5228,False,False,,,,,
1307,0.6534047436878347,0.6844981640652193,0.6534654604147665,0.6519319444353465,0.6355093009969599,0.6844981640652193,,random_stratified_holdout,key_lap_label,male,1500m,male_1500m_key_lap,key_lap,92,5228,False,False,,,,,
5228,,,,,,,,unsupervised_full_fit,style_cluster,male,1500m,male_1500m_style_cluster,style_cluster,18,5228,False,False,0.19675816097770915,"{0: 1848, 1: 1427, 2: 63, 3: 1890}",,,
5228,,,,,,,,unsupervised_full_fit,risk_score,male,1500m,male_1500m_risk_detection,risk_detection,15,5228,False,False,,,0.12012241775057383,-0.05314737914265175,0.06047470096816362
