n,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,roc_auc,split,target,distance,model_id,features_n,silhouette,cluster_counts,anomaly_rate,risk_score_mean,risk_score_std
2088,0.8376436781609196,0.8378964975268078,0.8374763360583939,0.8374413690518959,0.8395874444423953,0.8378964975268078,0.9230369753928619,athlete_group_holdout,advancement_label,500m,500m_advancement,55,,,,,
4950,0.831919191919192,0.8321640194222698,0.8319182041106578,0.8319117833551858,0.8322226076526893,0.8321640194222698,0.9175636142038084,time_external_season_ge_2023,advancement_label,500m,500m_advancement,55,,,,,
2339,0.8499358700299273,0.8506641887879653,0.8498013454393973,0.8500338808030278,0.8497488374133544,0.8506641887879653,0.93026310966446,random_stratified_holdout,advancement_label,500m,500m_advancement,55,,,,,
2169,0.648686030428769,0.6451788155277973,0.6462475086254587,0.6503847333727969,0.647864922463237,0.6451788155277973,,athlete_group_holdout,grade_label,500m,500m_grade,34,,,,,
5257,0.6254517785809397,0.6305689192428818,0.6252459236107315,0.6231251081462124,0.6267920136488271,0.6305689192428818,,time_external_season_ge_2023,grade_label,500m,500m_grade,34,,,,,
2529,0.6338473705021748,0.6338725078489011,0.6346042647513607,0.6345760236531202,0.6368977269191779,0.6338725078489011,,random_stratified_holdout,grade_label,500m,500m_grade,34,,,,,
2169,0.4024896265560166,0.2661566340842737,0.2591061771147724,0.38539548102901,0.26366351348125344,0.2661566340842737,,athlete_group_holdout,max_round_score,500m,500m_max_round,55,,,,,
5257,0.37283621837549935,0.26536602072068555,0.2037399217660681,0.37541242593279067,0.2161743512607292,0.22745658918915906,,time_external_season_ge_2023,max_round_score,500m,500m_max_round,55,,,,,
2529,0.4290233293792013,0.2865635730093083,0.28180950432408197,0.41386398845463374,0.2906844311364817,0.2865635730093083,,random_stratified_holdout,max_round_score,500m,500m_max_round,55,,,,,
2169,0.7588750576302443,0.6799091026655473,0.6832171587459344,0.7565196702121479,0.6870810436273047,0.6799091026655473,0.7580710564212271,athlete_group_holdout,final_entry_label,500m,500m_final_entry,55,,,,,
5257,0.7487159977173293,0.6832915378783461,0.6755822529097287,0.7534333586604477,0.6700103643086963,0.6832915378783461,0.7858937423455998,time_external_season_ge_2023,final_entry_label,500m,500m_final_entry,55,,,,,
2529,0.7362593910636616,0.654127065495488,0.6602822517709964,0.7298432614076756,0.6699262903849941,0.654127065495488,0.756858815089855,random_stratified_holdout,final_entry_label,500m,500m_final_entry,55,,,,,
2169,1.0,1.0,1.0,1.0,1.0,1.0,,athlete_group_holdout,tactical_style_label,500m,500m_tactical_style,34,,,,,
5257,1.0,1.0,1.0,1.0,1.0,1.0,,time_external_season_ge_2023,tactical_style_label,500m,500m_tactical_style,34,,,,,
2529,1.0,1.0,1.0,1.0,1.0,1.0,,random_stratified_holdout,tactical_style_label,500m,500m_tactical_style,34,,,,,
2169,0.92577224527432,0.9047351868815678,0.9033176724741253,0.926028837061335,0.9032907071051939,0.9047351868815678,,athlete_group_holdout,key_lap_label,500m,500m_key_lap,55,,,,,
5257,0.9115465094160168,0.8923869617906446,0.8843245641905014,0.912195240329485,0.8772596533330462,0.8923869617906446,,time_external_season_ge_2023,key_lap_label,500m,500m_key_lap,55,,,,,
2529,0.9221035982601818,0.9053668279579827,0.9004262261980754,0.922431381130248,0.8957537185136747,0.9053668279579827,,random_stratified_holdout,key_lap_label,500m,500m_key_lap,55,,,,,
10116,,,,,,,,unsupervised_full_fit,style_cluster,500m,500m_style_cluster,18,0.4058864735371637,"{""0"": 4496, ""1"": 3340, ""2"": 2105, ""3"": 175}",,,
10116,,,,,,,,unsupervised_full_fit,risk_score,500m,500m_risk_detection,15,,,0.12000790826413603,-0.055949552437605084,0.07554448135003945
2300,0.84,0.8420011690385684,0.8398251096092824,0.8402071070416395,0.8402322656945324,0.8420011690385684,0.9236370021229681,athlete_group_holdout,advancement_label,1000m,1000m_advancement,70,,,,,
4948,0.8318512530315278,0.8320955087642167,0.8317825443400124,0.8318952265940978,0.8317482393169544,0.8320955087642167,0.9105560527789553,time_external_season_ge_2023,advancement_label,1000m,1000m_advancement,70,,,,,
2301,0.834419817470665,0.8357447484233929,0.8343592500186578,0.834264269241647,0.8370117982099268,0.8357447484233929,0.9148170833144291,random_stratified_holdout,advancement_label,1000m,1000m_advancement,70,,,,,
